S1,S2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
coffee,pizza,0,0,0,0,,,,,10.770493499992881,None,space,1.6901308000087738,10.770493499992881,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
was,was,0,1,1,1,,,,,12.485057199985022,None,space,0.5919952999975067,12.485057199985022,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
too,too,0,2,2,2,,,,,13.101745799998753,None,space,0.38196749999769963,13.101745799998753,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
hot,hot,0,3,3,3,,,,,13.501747300004354,None,space,0.3653571000031661,13.501747300004354,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
to,to ,0,4,4,4,,,,,13.885107199981576,None,space,0.2935886000050232,13.885107199981576,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
drink,drink,0,5,5,5,,,,,14.201689199981047,None,space,0.3141392999968957,14.201689199981047,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
so,so ,0,6,6,6,,,,,14.535116799990647,None,space,0.2925876000081189,14.535116799990647,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
we,we,0,7,7,7,,,,,14.851761700003408,None,space,0.29009039999800734,14.851761700003408,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
let,let,0,8,8,8,,,,,15.168412899976829,None,space,0.30940739999641664,15.168412899976829,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
it,it,0,9,9,9,,,,,15.50184260000242,None,space,0.2889629999990575,15.50184260000242,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
cool,cool,0,10,10,10,,,,,15.818517599982442,None,space,0.3082974999852013,15.818517599982442,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
down,down,0,11,11,11,,,,,16.151724299998023,None,space,0.3118894000072032,16.151724299998023,None,,,,,,,,,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
coffee,pizza,,,,,0,0,0,0,,,,,,,16.48511409998173,None,18.00178729998879,None,space,-1.155092600005446,18.00178729998879,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
was,was,,,,,0,1,1,1,,,,,,,,,18.018489499983843,None,space,1.05498919999809,18.018489499983843,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
too,too,,,,,0,2,2,2,,,,,,,,,19.101791799999774,None,space,0.35476759998709895,19.101791799999774,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
hot,hot,,,,,0,3,3,3,,,,,,,,,19.485126399988076,None,space,0.3082445000181906,19.485126399988076,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
to,to ,,,,,0,4,4,4,,,,,,,,,19.818453199986834,None,space,0.2874154000019189,19.818453199986834,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
drink,drink,,,,,0,5,5,5,,,,,,,,,20.135144799976842,None,space,0.2601577999885194,20.135144799976842,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
so,so ,,,,,0,6,6,6,,,,,,,,,20.41854179999791,None,space,0.24201149999862537,20.41854179999791,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
we,we,,,,,0,7,7,7,,,,,,,,,20.685252299997956,None,space,0.24117520000436343,20.685252299997956,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
let,let,,,,,0,8,8,8,,,,,,,,,20.951885299989954,None,space,0.24074280000058934,20.951885299989954,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
it,it,,,,,0,9,9,9,,,,,,,,,21.218559599976288,None,space,0.2399769999901764,21.218559599976288,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
cool,cool,,,,,0,10,10,10,,,,,,,,,21.48521359998267,None,space,0.2633248000056483,21.48521359998267,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
down,down,,,,,0,11,11,11,,,,,,,,,21.7685617999814,None,space,0.31577529999776743,21.7685617999814,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
coffee,pizza,,,,,1,0,12,0,,,,,,,,,22.101854899985483,None,space,1.6166720000037458,22.101854899985483,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
was,was,,,,,1,1,13,1,,,,,,,,,23.735366399982013,None,space,0.43631550000282004,23.735366399982013,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
too,too,,,,,1,2,14,2,,,,,,,,,24.2020680999849,None,space,0.28247799997916445,24.2020680999849,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
hot,hot,,,,,1,3,15,3,,,,,,,,,24.501995099999476,None,space,0.2256710999936331,24.501995099999476,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
to,to ,,,,,1,4,16,4,,,,,,,,,24.75208949999069,None,space,0.17122509999899194,24.75208949999069,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
drink,drink,,,,,1,5,17,5,,,,,,,,,24.952038299990818,None,space,0.16770089999772608,24.952038299990818,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
so,so ,,,,,1,6,18,6,,,,,,,,,25.135367999988375,None,space,0.17927160000544973,25.135367999988375,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
we,we,,,,,1,7,19,7,,,,,,,,,25.335394599998835,None,space,0.1523694999923464,25.335394599998835,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
let,let,,,,,1,8,20,8,,,,,,,,,25.51868330000434,None,space,0.14104350001434796,25.51868330000434,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
it,it,,,,,1,9,21,9,,,,,,,,,25.68538839998655,None,space,0.34229030000278726,25.68538839998655,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
cool,cool,,,,,1,10,22,10,,,,,,,,,26.05193029998918,None,space,0.1485044999863021,26.05193029998918,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
down,down,,,,,1,11,23,11,,,,,,,,,26.218701599980704,None,space,0.17700259998673573,26.218701599980704,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
coffee,pizza,,,,,2,0,24,0,,,,,,,,,26.418726100004278,None,space,0.19678130000829697,26.418726100004278,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
was,was,,,,,2,1,25,1,,,,,,,,,26.63542320000124,None,space,0.12834870000369847,26.63542320000124,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
too,too,,,,,2,2,26,2,,,,,,,,,26.785367000004044,None,space,0.15140569998766296,26.785367000004044,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
hot,hot,,,,,2,3,27,3,,,,,,,,,26.968720699980622,None,space,0.11696340001071803,26.968720699980622,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
to,to ,,,,,2,4,28,4,,,,,,,,,27.10209400000167,None,space,0.15580989999580197,27.10209400000167,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
drink,drink,,,,,2,5,29,5,,,,,,,,,27.28538699998171,None,space,0.14426860000821762,27.28538699998171,None,1,001,2019_Nov_12_1028,try,3.2.4,59.98685088342161,
